topic_number,topic_keywords,number_of_content_items
-1,,239
0,"pay,workers,wage,failed,employment,minimum,employers,national,government,minimum wage",651
1,"acas,cac,council,outcome,members,panel,union,unite,set nn,independent",52
2,"modernisation,project,fund,union,round,study,individual,aimed,case,equality",25
3,"cac,complaint,ballot,employer,application,make complaint,make,information consultation,make application,nn employer",17
4,"regional,development,economic performance,agencies,property,transfer,homes,statement,performance,communities",14
