topic_number,topic_keywords,number_of_content_items
-1,,151
0,"sexual,assault,sexual assault,rape,police,rape sexual,report,victims,victims rape,information victims",157
1,"travel,advice,flights,british,travellers,travel advice,people,home,nationals,uk",111
2,"service providers,service,providers,providers information,fcdo,exhaustive subject,provider suitable,research service,providers endorsed,fcdo research",75
3,"dies,nn dies,death abroad,uk repatriation,bodies,repatriation nn,death,includes information,cremation,repatriation",72
4,"death,funeral,died,funeral director,person,director,body,certificate,uk,local",64
5,"prison,legal,independent legal,visits,independent,prison nn,prisoners,systems,lawyer,legal advice",53
6,"eu,ireland,uk,goods,need,healthcare,travel,customs,countries,youll",53
7,"abroad,guidance,read,uk,pension,nn read,read guidance,tax,british,driving",46
8,"assistive technology,assistive,technology,format,accessible,need,document,kb,version,formatn",38
9,"prisoner,prison,arrested abroad,youre arrested,help youre,arrested,explains nn,nn arrange,arrange visits,send money",35
10,"overseas travel,tourism,provisional,statistics,results,produced,political,influence,overseas,free",29
11,"permit,work,application,residence,visa,need,authorities,residence permit,company,months",29
12,"translators,damage arising,arising use,failure information,liability person,information failure,financial loss,company financial,person company,use information",27
13,"doctors,damage arising,arising use,failure information,liability person,financial loss,information failure,company financial,person company,use information",25
14,"mental,mental health,health,health support,support,medical,hospitalisation,support abroad,psychiatric,abroad",23
15,"funeral directors,directors,funeral,damage arising,arising use,failure information,information failure,liability person,company financial,financial loss",22
16,"salvador,el salvador,medical facilities,facilities,el,medical,list medical,prepared,practitioners,nationals require",20
17,"doctors,failure information,liability person,information failure,company financial,financial loss,person company,use information,failure,doctors foreign",20
18,"service,service providers,providers,funeral directors,directors,providers information,fcdo,funeral,liability arising,endorsed recommended",19
19,"pack,prisoner pack,prisoner,prison,imprisoned,aims,explain,uk prison,apply transfer,transfer uk",18
20,"greece,uk nationals,nationals,uk,living,rights,events,eu,campaign,italy",12
21,"missing,british,consular,nationals,help,country,abroad,british nationals,provide,contact",11
