topic_number,topic_name,content_item_title,content_item_url,content_item_probability,content_item_id
-1,Outliers,Living in Azerbaijan,https://gov.uk/guidance/living-in-azerbaijan,0.013,00076a8b-39fe-47c0-b7e6-09d3e84f34b3
-1,Outliers,Cape Verde: translators and interpreters,https://gov.uk/government/publications/cape-verde-list-of-translators-and-interpreters,0.010,00d1b1ba-589c-45a4-858d-d68cf879cccf
-1,Outliers,Living in Cyprus,https://gov.uk/guidance/living-in-cyprus,0.058,030f6c27-a5f8-4118-b186-e0e8c31b7360
-1,Outliers,Namibia: lawyers,https://gov.uk/government/publications/namibia-list-of-lawyers,0.005,04b0ce0b-918c-4582-aeaa-2ce62f241214
-1,Outliers,Cuba: assistance companies,https://gov.uk/government/publications/cuba-list-of-assistance-companies,0.006,0680c014-ac8e-46d0-82db-e9fa57dc8fa5
-1,Outliers,Message from Ambassador Knott to UK nationals in Poland,https://gov.uk/government/news/message-from-ambassador-knott-to-uk-nationals-in-poland--2,0.344,096da19b-634f-43cc-96ae-c67633a33e76
-1,Outliers,"Medical emergencies, treatment and hospitalisation abroad",https://gov.uk/guidance/in-hospital-abroad,0.011,098bc3d4-13d8-4eb0-bfa3-8c6c2b98f6f0
-1,Outliers,Fiji: doctors and medical facilities,https://gov.uk/government/publications/fiji-doctors-and-medical-facilities,0.005,0aace817-8ad1-4f7f-b075-7e10115469bb
-1,Outliers,تحديث نصيحة السفر لمواطني المملكة المتحدة في لبنان,https://gov.uk/government/news/uk-updates-travel-advice-for-lebanon.ar,0.064,0b8a7172-8118-4329-9bfc-137dc15ee2fd
-1,Outliers,Get your document legalised,https://gov.uk/get-document-legalised,0.016,0c1c8a0c-4656-4a27-b2f6-834bc9240daf
-1,Outliers,Consular and Crisis Strategy 2022,https://gov.uk/government/publications/consular-and-crisis-strategy-2022,0.043,0d592a54-1295-4720-abc1-45982bb45712
-1,Outliers,France: card payment authorisation slip,https://gov.uk/government/publications/passport-credit-debit-card-payment-authorisation-slip-france,0.019,0ea05582-de46-49d5-ad09-393417d30327
