topic_number,topic_keywords,number_of_content_items
-1,,151
0,"death,information,british,abroad,funeral,need,person,fcdo,advice,local",588
1,"sexual,assault,sexual assault,rape,police,rape sexual,information,report,victims,victims rape",157
2,"prison,legal,prisoner,visits,prison nn,information,transfer,money,arrested,prisoners",106
3,"assistive,assistive technology,technology,format,accessible,need,document,kb,version,formatn",38
4,"permit,work,application,residence,need,visa,authorities,company,youre,residence permit",29
5,"overseas travel,tourism,provisional,results,overseas,produced,political,influence,2021,2019",29
6,"greece,uk nationals,nationals,living,rights,eu,events,information,british,campaign",12
