topic_number,topic_keywords,number_of_content_items
-1,,151
0,"death,funeral,person,fcdo,director,body,certificate,local,dies,information",344
1,"sexual,police,information,assault,sexual assault,rape,prison,rape sexual,medical,legal",286
2,"british,need,information,advice,guidance,read,nationals,technology,travel advice,contact",271
3,"permit,work,application,residence,need,visa,authorities,company,youre,residence permit",29
4,"overseas travel,provisional,political,influence,2021,2019,july,december,january,august",29
