topic_number,topic_keywords,number_of_content_items
-1,,151
0,"pension,nn read,driving,read guidance,check,tax,british nationals,international,flights,countries",221
1,"service,service providers,fcdo,providers,does accept,providers information,arising,loss damage,fcdo does,accept liability",188
2,"sexual,assault,sexual assault,rape,police,rape sexual,report,victims,victims rape,information victims",157
3,"death,funeral,died,person,director,body,certificate,dies,death certificate,repatriation",136
4,"prison,prisoner,visits,prison nn,transfer,money,arrested,independent legal,prisoners,independent",106
5,"assistive technology,assistive,technology,format,accessible,document,kb,version,formatn,nnn",38
6,"permit,application,visa,residence permit,company,youre,months,employment,process,documents",29
7,"overseas travel,tourism,provisional,results,produced,political,influence,overseas,2021,2019",29
8,"mental,mental health,support,health support,hospitalisation,support abroad,help,psychiatric,emergency,hospital",23
9,"salvador,el salvador,medical facilities,facilities,el,list medical,prepared,practitioners,nationals require,facilities practitioners",20
10,"greece,uk nationals,rights,eu,events,campaign,italy,facebook,message,europe",12
